1948	 4731	 2412	 5195	 1670	 2134	 4916	 463.8	 2783	 927.6	 1174	 544.5	 2505	 4638	 1.101e+04	 6030	 1e+07	 1e+07	 1766	 5470	 2676	 3315	 3457	 6240	 1e+07	 1e+07	 
1948	 4731	 2412	 5195	 1670	 2134	 4916	 463.8	 2783	 927.6	 1174	 544.5	 2505	 4638	 1.101e+04	 6030	 1e+07	 1e+07	 2266	 5470	 2676	 3315	 3457	 6240	 1e+07	 1e+07	 
1855	 4638	 2319	 5102	 1577	 2041	 4824	 463.8	 2783	 927.6	 1174	 544.5	 2458	 5566	 1.101e+04	 5241	 1e+07	 1e+07	 1865	 4879	 2198	 2672	 3457	 6240	 1e+07	 1e+07	 
2226	 5009	 2690	 5473	 1948	 2412	 5195	 463.8	 2876	 1020	 1174	 544.5	 2226	 3896	 1.101e+04	 6030	 1e+07	 1e+07	 2708	 5264	 2789	 2640	 3457	 6240	 1e+07	 1e+07	 
1855	 4638	 2319	 5102	 1577	 2041	 4824	 417.4	 2597	 742.1	 1174	 544.5	 2458	 3525	 1.101e+04	 5241	 1e+07	 1e+07	 1865	 6163	 2198	 2672	 3457	 6240	 1e+07	 1e+07	 
649.3	 3432	 1020	 3803	 556.6	 742.1	 3525	 324.7	 2375	 519.5	 1174	 544.5	 1484	 2412	 1.101e+04	 4545	 1e+07	 1e+07	 1252	 3852	 1635	 1541	 3457	 6240	 1e+07	 1e+07	 
1113	 3896	 1484	 4267	 927.6	 1299	 4082	 371	 2505	 649.3	 1174	 544.5	 1855	 2597	 1.101e+04	 5287	 1e+07	 1e+07	 1316	 4031	 1769	 1541	 3457	 6240	 1e+07	 1e+07	 
1484	 4267	 1855	 4638	 1206	 1670	 4453	 371	 2505	 649.3	 1174	 544.5	 1948	 3710	 1.101e+04	 4963	 1e+07	 1e+07	 2061	 5932	 3623	 3438	 3457	 6240	 1e+07	 1e+07	 
1484	 4267	 1855	 4638	 1206	 1484	 4267	 417.4	 2597	 742.1	 1174	 544.5	 1994	 3247	 1.101e+04	 4870	 1e+07	 1e+07	 1770	 5881	 2157	 3537	 3457	 6240	 1e+07	 1e+07	 
1484	 4267	 2041	 4824	 1206	 1762	 4545	 371	 2505	 649.3	 1174	 544.5	 1948	 3710	 1.101e+04	 4684	 1e+07	 1e+07	 1930	 5701	 2543	 3496	 3457	 6240	 1e+07	 1e+07	 
649.3	 3432	 1020	 3803	 556.6	 742.1	 3525	 324.7	 2375	 519.5	 1174	 544.5	 1484	 2412	 1.101e+04	 4545	 1e+07	 1e+07	 1252	 3852	 1635	 1541	 3457	 6240	 1e+07	 1e+07	 
1484	 4267	 1855	 4638	 1206	 1670	 4453	 371	 2505	 649.3	 1174	 544.5	 1948	 3710	 1.101e+04	 4963	 1e+07	 1e+07	 2061	 5932	 2617	 2638	 3457	 6240	 1e+07	 1e+07	 
