0.43	 0.36	 0.44	 0.36	 0.39	 0.45	 0.38	 0.4	 0.51	 0.59	 0.36	 0.2348	 1	 0.3633	 0.3292	 0	 0	 0	 0	 0	 0	 0	 0.4	 0.3	 0	 0	 
0.43	 0.36	 0.44	 0.36	 0.39	 0.45	 0.38	 0.4	 0.51	 0.59	 0.36	 0.2348	 1	 0.3633	 0.3292	 0	 0	 0	 0	 0	 0	 0	 0.4	 0.3	 0	 0	 
0.43	 0.36	 0.44	 0.36	 0.39	 0.45	 0.38	 0.4	 0.51	 0.59	 0.36	 0.2348	 1	 0.3633	 0.3292	 0	 0	 0	 0	 0	 0	 0	 0.4	 0.3	 0	 0	 
0.43	 0.36	 0.44	 0.36	 0.39	 0.45	 0.38	 0.4	 0.51	 0.59	 0.36	 0.2348	 1	 0.3633	 0.3292	 0	 0	 0	 0	 0	 0	 0	 0.4	 0.3	 0	 0	 
0.43	 0.36	 0.44	 0.36	 0.39	 0.45	 0.38	 0.38	 0.49	 0.57	 0.36	 0.2348	 1	 0.3633	 0.3292	 0	 0	 0	 0	 0	 0	 0	 0.4	 0.3	 0	 0	 
0.41	 0.35	 0.43	 0.36	 0.37	 0.44	 0.37	 0.38	 0.49	 0.57	 0.36	 0.2348	 1	 0.3633	 0.3292	 0	 0	 0	 0	 0	 0	 0	 0.4	 0.3	 0	 0	 
0.4	 0.31	 0.41	 0.36	 0.36	 0.4	 0.33	 0.38	 0.48	 0.56	 0.36	 0.2348	 1	 0.3633	 0.3292	 0	 0	 0	 0	 0	 0	 0	 0.4	 0.3	 0	 0	 
0.43	 0.35	 0.44	 0.36	 0.39	 0.45	 0.37	 0.38	 0.49	 0.58	 0.36	 0.2348	 1	 0.3633	 0.3292	 0	 0	 0	 0	 0	 0	 0	 0.4	 0.3	 0	 0	 
0.41	 0.35	 0.42	 0.36	 0.37	 0.43	 0.37	 0.38	 0.49	 0.57	 0.36	 0.2348	 1	 0.3633	 0.3292	 0	 0	 0	 0	 0	 0	 0	 0.4	 0.3	 0	 0	 
0.39	 0.32	 0.4	 0.36	 0.35	 0.42	 0.34	 0.38	 0.5	 0.58	 0.36	 0.2348	 1	 0.3633	 0.3292	 0	 0	 0	 0	 0	 0	 0	 0.4	 0.3	 0	 0	 
0.41	 0.35	 0.43	 0.36	 0.37	 0.44	 0.37	 0.38	 0.49	 0.57	 0.36	 0.2348	 1	 0.3633	 0.3292	 0	 0	 0	 0	 0	 0	 0	 0.4	 0.3	 0	 0	 
0.43	 0.35	 0.44	 0.36	 0.39	 0.45	 0.37	 0.38	 0.49	 0.58	 0.36	 0.2348	 1	 0.3633	 0.3292	 0	 0	 0	 0	 0	 0	 0	 0.4	 0.3	 0	 0	 
